Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
neutrophil activation involved in immune response (GO:0002283)	53/485	1.56780214326325e-07	5.05402400001046e-05	53	0.109278350515464	FCN1;PIGR;SERPINA1;ATP8A1;GMFG;HBB;ITGAL;SIRPB1;HK3;ADGRE5;ADGRE3;OLR1;CTSH;CD36;CAMP;FCER1G;MME;CD93;ANXA3;SLC11A1;CYBB;MCEMP1;UNC13D;OSCAR;FGR;TYROBP;SLPI;CAT;PECAM1;DNASE1L3;VAMP2;S100A8;CFD;CLEC12A;C5AR1;FPR1;FPR2;RETN;CFP;PLAC8;ALOX5;ALDH3B1;CXCR2;S100A12;STOM;METTL7A;PPBP;LYZ;PTPRB;FABP5;SLCO4C1;MNDA;FOLR3
regulation of protein phosphorylation (GO:0001932)	35/266	2.82530577093211e-07	7.85162884019478e-05	35	0.131578947368421	PID1;FAXDC2;LRRK2;ITLN1;FBLN1;ARRB1;FPR2;AGER;CDH5;CCND2;BMPER;GPER1;LEPR;ROPN1L;RSPO1;SLIT2;CCN1;ANGPT1;LIMCH1;ODAM;WNT3A;VEGFD;PTPN13;FGR;MARCO;BMP2;MYADM;PECAM1;ADTRP;TEK;PLPP3;GAS6;ATF3;HLA-DRB1;ENG
neutrophil degranulation (GO:0043312)	52/481	2.87848773047186e-07	7.85162884019478e-05	52	0.108108108108108	FCN1;PIGR;SERPINA1;ATP8A1;GMFG;HBB;ITGAL;SIRPB1;HK3;ADGRE5;ADGRE3;OLR1;CTSH;CD36;CAMP;FCER1G;MME;CD93;ANXA3;SLC11A1;CYBB;MCEMP1;UNC13D;OSCAR;FGR;TYROBP;SLPI;CAT;PECAM1;VAMP2;S100A8;CFD;CLEC12A;C5AR1;FPR1;FPR2;RETN;CFP;PLAC8;ALOX5;ALDH3B1;CXCR2;S100A12;STOM;METTL7A;PPBP;LYZ;PTPRB;FABP5;SLCO4C1;MNDA;FOLR3
regulation of cell migration (GO:0030334)	46/408	4.26412648598054e-07	0.000108004232280622	46	0.112745098039216	SEMA5A;ACVRL1;ROBO4;RIPOR1;CITED2;SEMA3B;PDGFB;FAM107A;SEMA3G;NEDD9;ADARB1;LDB2;VSIR;CX3CL1;CDH5;DACH1;GPER1;PDPN;MGAT3;CTSH;PHACTR1;SLIT2;CCN1;SASH1;CCL24;EDN1;ACE;SEMA6A;MYOC;F10;LIMCH1;SEMA6D;CAV1;ALOX15B;FGR;CLDN5;IGSF10;BMP2;DLC1;PECAM1;MYADM;CASS4;AMOTL1;FERMT2;ENG;HBEGF
regulation of endothelial cell proliferation (GO:0001936)	18/92	7.89482009742845e-07	0.000186633547103208	18	0.195652173913043	ACVRL1;SEMA5A;CCL24;EGFL7;ANGPT1;CAV2;CAV1;TIE1;TNFSF12;PDGFB;PTPRM;VEGFD;NR4A1;BMP2;RGCC;ALOX5;ATOH8;TEK
positive regulation of cell motility (GO:2000147)	30/221	1.0188895621353e-06	0.000225811399208237	30	0.135746606334842	SEMA5A;RIPOR1;SEMA3B;PDGFB;FAM107A;SEMA3G;NEDD9;VSIR;DUOX1;CDH5;GPER1;SPOCK2;PDPN;CTSH;CCN1;CCL24;EDN1;SEMA6A;MYOC;CAVIN1;F10;SEMA6D;CAV1;FGR;BMP2;MYADM;CASS4;PECAM1;FERMT2;HBEGF
positive regulation of angiogenesis (GO:0045766)	20/116	1.61173644113943e-06	0.000336189260016495	20	0.172413793103448	SEMA5A;ANGPT4;RAMP2;HSPB6;ANXA3;TNFSF12;TIE1;GATA6;VEGFD;GATA2;KLF4;AQP1;CDH5;BMPER;RRAS;HYAL1;CTSH;TEK;CD34;SASH1
cell junction disassembly (GO:0150146)	5/6	1.98322439108352e-06	0.000390695205043453	5	0.833333333333333	C1QB;CX3CR1;C1QA;CX3CL1;C1QC
positive regulation of response to external stimulus (GO:0032103)	22/139	2.19495512882323e-06	0.000409647941410903	22	0.158273381294964	PTGER4;CEBPA;IL33;PDGFB;LY86;LPL;FPR2;PTN;SCIMP;BMP6;CX3CL1;OASL;LILRA5;THBD;HYAL2;AGTR1;S100A12;TLR8;SCARF1;TLR4;S100A8;SASH1
heart development (GO:0007507)	24/164	3.21441056517965e-06	0.000555221008959466	24	0.146341463414634	ACVRL1;NDRG4;RAMP2;FOXF1;CITED2;HEG1;PDGFB;BMP5;TGFBR2;APLN;TBX2;TGFBR3;PDLIM1;RBP4;BMP2;SCUBE1;PDLIM2;SOX17;SOX18;FLRT3;DLC1;GPC3;TEK;SGCG
negative regulation of blood coagulation (GO:0030195)	11/40	3.46016955481806e-06	0.000555221008959466	11	0.275	THBD;CPB2;EDN1;F8;F10;F11;PDGFB;SERPING1;ADTRP;A2M;CD34
regulation of nitric oxide biosynthetic process (GO:0045428)	11/40	3.46016955481806e-06	0.000555221008959466	11	0.275	CX3CR1;EDN1;CAV1;HBB;CD36;AGTR2;KLF4;CLU;CD34;TLR4;KLF2
blood vessel morphogenesis (GO:0048514)	13/56	3.64827152255529e-06	0.000555221008959466	13	0.232142857142857	CCBE1;EGFL7;RAMP2;CAV1;SLC1A1;RASIP1;TGFBR2;TGFBR3;SOX17;SOX18;GJA5;ID1;ENG
positive regulation of vasculature development (GO:1904018)	18/102	3.75784100818589e-06	0.000555221008959466	18	0.176470588235294	SEMA5A;ANGPT4;RAMP2;HSPB6;ANXA3;TNFSF12;TIE1;GATA6;VEGFD;GATA2;AQP1;CDH5;RRAS;HYAL1;CTSH;TEK;CD34;SASH1
positive regulation of epithelial cell proliferation (GO:0050679)	20/123	4.11551748412034e-06	0.00058374499994763	20	0.16260162601626	SEMA5A;CCL24;EGFL7;ODAM;TNFSF12;C5AR1;PDGFB;WNT7A;VEGFD;PTN;BMP6;BMP5;TGM1;NR4A1;BMP2;NR4A3;JAML;HYAL1;TEK;FGFR2
positive regulation of protein modification process (GO:0031401)	28/214	4.77871683565334e-06	0.000643850633720405	28	0.130841121495327	FAXDC2;LRRK2;ITLN1;ARRB1;FPR2;AGER;CDH5;CCND2;GPER1;LEPR;RSPO1;CCN1;ACE;ANGPT1;LIMCH1;ODAM;WNT3A;VEGFD;SLC51B;MARCO;BMP2;DLC1;PECAM1;ADTRP;TEK;GAS6;HLA-DRB1;ENG
cellular response to transforming growth factor beta stimulus (GO:0071560)	19/114	4.90241599279496e-06	0.000643850633720405	19	0.166666666666667	ACVRL1;GDF10;HPGD;SMAD9;WNT7A;FOS;SMAD6;LRRC32;PRKCZ;TGFBR2;TGFBR3;CDH5;CLDN5;CLEC3B;HYAL2;ID1;ANKRD1;FERMT2;ENG
platelet degranulation (GO:0002576)	20/125	5.30233458966444e-06	0.000671502801962503	20	0.16	CFD;SERPINA1;VWF;PROS1;PDGFB;CTSW;VEGFD;PPBP;CLU;SELP;F8;CLEC3B;MMRN1;SELENOP;PECAM1;SERPING1;TIMP3;CD36;A2M;GAS6
lipoxin biosynthetic process (GO:2001301)	5/7	6.64752758217639e-06	0.000812832165737844	5	0.714285714285714	HPGD;ALOX5;ALOX15;ALOX5AP;ALOX15B
negative regulation of angiogenesis (GO:0016525)	16/87	7.42836034030243e-06	0.000870546869258652	16	0.183908045977011	ANGPT4;SEMA6A;NPR1;ECSCR;PTPRM;KLF4;DCN;KLF2;CLDN5;RGCC;ADAMTS1;ALOX5;COL4A3;PPARG;TEK;HOXA5
microglial cell activation (GO:0001774)	8/22	7.61053382600626e-06	0.000870546869258652	8	0.363636363636364	CX3CR1;C1QA;TYROBP;C5AR1;FPR2;AGER;CLU;CX3CL1
negative regulation of blood vessel morphogenesis (GO:2000181)	15/78	8.07612709426028e-06	0.000894935833632718	15	0.192307692307692	ANGPT4;SEMA6A;NPR1;ECSCR;PTPRM;KLF4;DCN;CLDN5;RGCC;ADAMTS1;ALOX5;COL4A3;PPARG;TEK;HOXA5
positive regulation of cellular process (GO:0048522)	58/625	8.44733456946983e-06	0.000907704496464849	58	0.0928	CSF3;VIPR1;CITED2;RTKN2;HBB;CX3CL1;SIRPB1;TGM1;ZFP36;CCND2;HYAL1;GPER1;CTSH;CCN2;CD36;MFSD2A;EDN1;FCER1G;SLC11A1;SFTPD;EMP2;LIFR;HBA1;TGFBR2;CLDN5;HCK;TAL1;NUPR1;GAS6;TLR4;S100A8;HBEGF;COLEC12;RAMP3;MYRF;PLA2G1B;PDGFB;FPR2;PTN;GATA2;LILRA5;GRK5;CXCR2;PDPN;TPPP;EGR2;WNT3A;CAV1;TNFSF13;VEGFD;TBX3;BMP6;TBX2;BMP5;IL6;FGFR4;IL7R;FGFR2
sprouting angiogenesis (GO:0002040)	12/52	9.19708114218319e-06	0.000938444213330463	12	0.230769230769231	ACVRL1;SEMA5A;CCBE1;NR4A1;RAMP2;BMPER;ANGPT1;VEGFD;ADTRP;SLIT2;TEK;ENG
regulation of endothelial cell apoptotic process (GO:2000351)	11/44	9.51240841882367e-06	0.000938444213330463	11	0.25	SEMA5A;CDH5;RAMP2;RGCC;ANGPT1;GPER1;ECSCR;NDNF;TEK;GATA2;GAS6
positive regulation of cell-substrate adhesion (GO:0010811)	14/70	1.00234987231482e-05	0.000938444213330463	14	0.2	MYOC;ALOX15;PDGFB;NEDD9;EMP2;NDNF;NPNT;CX3CL1;MYADM;CASS4;CD36;UTRN;FERMT2;LIMS2
regulation of endothelial cell migration (GO:0010594)	16/89	1.0056649776243e-05	0.000938444213330463	16	0.179775280898876	ACVRL1;ANGPT4;EDN1;ANGPT1;ANXA3;PTPRM;EMP2;PTN;DCN;BMPER;RRAS;RHOJ;ATOH8;SLIT2;TEK;SASH1
second-messenger-mediated signaling (GO:0019932)	16/89	1.0056649776243e-05	0.000938444213330463	16	0.179775280898876	CX3CR1;EDN1;LRRK2;FPR1;NDNF;FPR2;RCAN1;EDNRB;CCRL2;CXCR2;AGTR1;BTK;ACKR4;NMUR1;CD36;AGTR2
negative regulation of epithelial cell apoptotic process (GO:1904036)	10/37	1.14363738272218e-05	0.00103287445417002	10	0.27027027027027	SEMA5A;CDH5;RAMP2;ANGPT1;WFS1;NDNF;NUPR1;TEK;GATA2;GAS6
adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188)	23/165	1.16511500752399e-05	0.00103287445417002	23	0.139393939393939	PTGER4;VIPR1;RAMP2;CALCRL;RAMP3;FPR1;ADCY4;SCTR;ADRB2;FPR2;PTH1R;RXFP1;ADGRE1;MARCO;ADGRD1;ADCY9;GRK5;ADGRE5;ADGRE3;GPER1;S1PR1;S1PR4;ADGRL2
receptor-mediated endocytosis (GO:0006898)	21/143	1.23158656302567e-05	0.00106517218353391	21	0.146853146853147	COLEC12;MSR1;RAMP2;CALCRL;FCER1G;RAMP3;CAV2;CAV1;SFTPD;HBB;ADRB2;FPR2;HBA1;MARCO;MRC1;CXCR2;SCGB3A2;CD36;SCARF1;LDLR;FOLR1
extracellular matrix assembly (GO:0085029)	8/24	1.59742056347267e-05	0.0013309167065486	8	0.333333333333333	MFAP4;RAMP2;TNXB;NTN4;MYH11;GAS6;FBLN5;GPM6B
positive regulation of macromolecule metabolic process (GO:0010604)	40/384	1.61391478797489e-05	0.0013309167065486	40	0.104166666666667	RAMP2;CALCOCO1;PID1;RAMP3;CITED2;PDGFB;PCSK9;ARRB1;GATA2;CLU;VSIR;CDH5;CAMK2N1;LAMP3;GPER1;CTSH;CD36;CD34;HOXA5;EGR1;IL33;ANGPT1;ODAM;WFS1;WNT3A;SLC11A1;KLF4;NR0B2;BMP6;KLF2;CLDN5;BMP2;IL6;TYROBP;RGCC;ADTRP;GAS6;FGFR4;TLR4;RBMS3
water homeostasis (GO:0030104)	5/8	1.69773952346372e-05	0.00136822371595508	5	0.625	AQP9;SCTR;NEDD4L;AQP4;AQP1
regulation of interleukin-1 beta production (GO:0032651)	15/83	1.77135158131037e-05	0.00139582504607257	15	0.180722891566265	CX3CR1;EGR1;LPL;NLRC4;AGER;CX3CL1;LILRA5;IL6;TYROBP;FFAR4;TLR8;MNDA;CD36;CARD16;TLR4
skeletal system development (GO:0001501)	22/158	1.82415782006081e-05	0.00140571993370869	22	0.139240506329114	PTGER4;GDF10;PKDCC;MYOC;HHIP;ZBTB16;NPR3;IHH;PRELP;PTH1R;TBX4;BMP6;PAPSS2;TBX3;BMP5;RBP4;BMP2;HYAL1;HYAL2;ALPL;FGFR2;MATN3
response to lipid (GO:0033993)	18/114	1.86319336955184e-05	0.00140571993370869	18	0.157894736842105	GPX3;SLC11A1;GATA6;SMAD6;SOCS2;SELP;RBP4;SLPI;SCD;ALPL;CTSH;PPARG;CD36;FGFR4;TLR4;RXRG;ABCG1;S100A8
regulation of inflammatory response (GO:0050727)	26/206	1.96551459217499e-05	0.00145202390496928	26	0.12621359223301	PTGER4;CEBPA;ALOX15;CXCL17;LPL;FPR2;CX3CL1;LILRA5;CDH5;HYAL2;ALOX5;GPER1;FFAR4;S100A12;IL33;KLF4;HCK;IL6;BCL6B;AGTR1;PPARG;TEK;DNASE1L3;TLR4;VAMP2;S100A8
vasculogenesis (GO:0001570)	9/33	2.90770961841386e-05	0.0021042323075297	9	0.272727272727273	TGFBR3;RAMP2;EGFL7;SOX17;SOX18;CAV1;RASIP1;TGFBR2;ENG
adenylate cyclase-activating G protein-coupled receptor signaling pathway (GO:0007189)	18/118	3.00768108175641e-05	0.00213304742318165	18	0.152542372881356	PTGER4;RAMP2;CALCRL;RAMP3;ADCY4;ADRB1;ADRB2;PTH1R;RXFP1;ADGRE1;ADGRD1;ADCY9;ADGRE5;ADGRE3;GPER1;S1PR1;S1PR4;ADGRL2
neutrophil migration (GO:1990266)	14/77	3.12242168683287e-05	0.0021710014316685	14	0.181818181818182	CCL24;EDN1;CCL23;FCER1G;PLA2G1B;PPBP;CXCL3;CXCL2;CX3CL1;JAML;CXCR2;PECAM1;S100A12;S100A8
negative regulation of inflammatory response (GO:0050728)	26/212	3.24951638881755e-05	0.00221592021437443	26	0.122641509433962	PTGER4;VIPR1;RAMP2;RAMP3;CALCRL;ADCY4;CXCL17;ADRB1;FPR2;PTH1R;ADRB2;RXFP1;CDH5;FCGR3A;ALOX5;GPER1;FFAR4;SCTR;KLF4;FGR;HCK;IL6;ADCY9;PPARG;TEK;HLA-DRB1
defense response to bacterium (GO:0042742)	23/176	3.34727997487455e-05	0.0022395197718689	23	0.130681818181818	COLEC12;FCER1G;ANXA3;PLA2G1B;SLC11A1;SFTPD;FPR2;NLRC4;CFP;LYZ;AQP1;HLA-E;SELP;SPN;FGR;IL6;DMBT1;SLPI;S100A12;TLR4;S100A8;CAMP;GBP4
synapse pruning (GO:0098883)	5/9	3.65863121992796e-05	0.00237088289629133	5	0.555555555555556	C1QB;CX3CR1;C1QA;CX3CL1;C1QC
cellular response to low-density lipoprotein particle stimulus (GO:0071404)	6/14	3.69645287415954e-05	0.00237088289629133	6	0.428571428571429	FCER1G;LPL;PPARG;CD36;LDLR;CES1
positive regulation of pri-miRNA transcription by RNA polymerase II (GO:1902895)	9/34	3.77622770894196e-05	0.00237088289629133	9	0.264705882352941	EGR1;SPI1;ATOH8;PDGFB;PPARG;FOS;GATA2;KLF4;APLN
regulation of cell population proliferation (GO:0042127)	65/764	3.87752884081964e-05	0.00237088289629133	65	0.0850785340314136	ACVRL1;BTG2;CSF3;VIPR1;CHRM1;RTKN2;ADARB1;CLU;CX3CL1;CCND2;ADAMTS1;GPER1;CTSH;ADAMTS8;SOX7;TNS2;EDN1;P3H2;GKN2;EMP2;LIFR;WNT9A;SSTR1;TGFBR2;CLDN5;HCK;SFRP5;COL4A3;AGTR1;NUPR1;ENG;HBEGF;KANK2;CEBPA;PLA2G1B;NPR3;PDGFB;PTN;GRK5;CAMK2N1;CXCR2;PDPN;CCL23;CDKN2B;JUND;WNT3A;TNFSF13;VEGFD;KLF4;SMAD6;ALOX15B;TBX3;BMP6;TBX2;BMP5;BMP2;IL6;RGCC;NR4A3;DLC1;BCL6B;SCGB3A1;FGFR4;IL7R;FGFR2
positive regulation of signal transduction (GO:0009967)	29/252	3.87792464706421e-05	0.00237088289629133	29	0.115079365079365	CITED2;NOTCH4;LRRK2;IHH;PRKCZ;GPER1;RSPO2;RSPO1;RSPO4;SASH1;CCBE1;VWF;CAV2;LY86;WNT7A;EMP2;SORBS1;SCIMP;BMP6;KLF2;BMP2;IL6;TEK;GAS6;IL7R;SHANK3;LIMS2;JCAD;FGFR2
positive regulation of phosphorylation (GO:0042327)	29/253	4.17122019572416e-05	0.00240478967282695	29	0.114624505928854	FAXDC2;LRRK2;ITLN1;ARRB1;FPR2;AGER;CCND2;GPER1;LEPR;RSPO1;CCN1;ROS1;ANGPT1;LIMCH1;ODAM;WNT3A;TIE1;PIFO;VEGFD;MARCO;BMP2;PECAM1;ADTRP;TEK;GAS6;FGFR4;HLA-DRB1;FGFR2;ENG
transforming growth factor beta receptor signaling pathway (GO:0007179)	15/89	4.17294432750863e-05	0.00240478967282695	15	0.168539325842697	ACVRL1;GDF10;HPGD;SMAD9;FOS;LRRC32;SMAD6;PRKCZ;TGFBR2;TGFBR3;CDH5;CLDN5;ID1;FERMT2;ENG
negative regulation of endothelial cell apoptotic process (GO:2000352)	8/27	4.20465199422647e-05	0.00240478967282695	8	0.296296296296296	SEMA5A;CDH5;RAMP2;ANGPT1;NDNF;TEK;GATA2;GAS6
positive regulation of nitric oxide biosynthetic process (GO:0045429)	8/27	4.20465199422647e-05	0.00240478967282695	8	0.296296296296296	EDN1;HBB;CD36;AGTR2;KLF4;CLU;TLR4;KLF2
transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0007178)	19/133	4.65330188322036e-05	0.002597371108243	19	0.142857142857143	ACVRL1;GDF10;HPGD;SMAD9;FOS;SMAD6;LRRC32;PRKCZ;BMP6;BMP5;TGFBR2;TMEM100;TGFBR3;CDH5;CLDN5;BMP2;ID1;FERMT2;ENG
neutrophil chemotaxis (GO:0030593)	13/70	4.7181949082373e-05	0.002597371108243	13	0.185714285714286	CCL24;EDN1;CCL23;FCER1G;PLA2G1B;PPBP;CXCL3;CXCL2;CX3CL1;JAML;CXCR2;S100A12;S100A8
regulation of cell-substrate adhesion (GO:0010810)	10/43	4.76111455261689e-05	0.002597371108243	10	0.232558139534884	FZD4;ALOX15;PDPN;PDGFB;MYADM;NDNF;EMP2;NPNT;CORO2B;CX3CL1
positive regulation of cell migration (GO:0030335)	30/269	5.18567731659876e-05	0.00278612299464533	30	0.111524163568773	SEMA5A;RIPOR1;SEMA3B;PDGFB;FAM107A;SEMA3G;NEDD9;VSIR;CDH5;GLIPR2;HYAL1;GPER1;PDPN;CTSH;CCN1;CCL24;EDN1;SEMA6A;MYOC;F10;PRKCE;SEMA6D;CAV1;FGR;BMP2;MYADM;CASS4;PECAM1;FERMT2;HBEGF
regulation of lipopolysaccharide-mediated signaling pathway (GO:0031664)	7/21	5.50794877128116e-05	0.00291510243924821	7	0.333333333333333	LY86;CARD16;CD36;SCIMP;BMP6;CX3CL1;SASH1
positive regulation of nitric oxide metabolic process (GO:1904407)	8/28	5.62410295665343e-05	0.00293280427710192	8	0.285714285714286	EDN1;HBB;CD36;AGTR2;KLF4;CLU;TLR4;KLF2
positive regulation of cell differentiation (GO:0045597)	29/258	5.96109031898261e-05	0.0030343677163616	29	0.112403100775194	ACVRL1;CSF3;PKDCC;PLA2G3;LPL;PTN;TMEM100;ZFP36;RRAS;GLIPR2;PDPN;FFAR4;CCN2;CD36;CCN1;CD34;HOXA5;MSR1;ZBTB16;NPNT;ALOX15B;BMP6;TGFBR2;BMP2;IL6;RGCC;AGTR1;PPARG;FERMT2
negative regulation of cell population proliferation (GO:0008285)	38/379	5.99000959236638e-05	0.0030343677163616	38	0.100263852242744	ACVRL1;KANK2;CEBPA;BTG2;NDRG4;GATA6;FBLN1;ADARB1;GATA2;CAMK2N1;ADAMTS1;GPER1;PDPN;ADAMTS8;SOX7;TNS2;CCL23;CDKN2B;KRT4;P3H2;WNT9A;SSTR1;SMAD6;KLF4;ALOX15B;TBX3;BMP5;TGFBR3;RBP4;BMP2;IL6;RGCC;SFRP5;DLC1;COL4A3;OGN;PPARG;NUPR1
macrophage activation (GO:0042116)	9/36	6.18103152729523e-05	0.00308703349236463	9	0.25	C1QA;CD93;SLC11A1;C5AR1;FPR2;AGER;CLU;TLR4;CX3CL1
positive regulation of secretion by cell (GO:1903532)	13/72	6.41224325598678e-05	0.00313064046221046	13	0.180555555555556	UNC13B;EDN1;PLA2G1B;UNC13D;BMP6;BMP2;RGCC;GPER1;ANKRD1;APBB1;MYH10;ABCG1;CFTR
positive regulation of cytoskeleton organization (GO:0051495)	14/82	6.44491691318003e-05	0.00313064046221046	14	0.170731707317073	SEMA5A;CCL24;CSF3;EDN1;PRKCE;ALOX15;LMOD1;SORBS3;CX3CL1;HCK;CFL2;TEK;SYNPO;NES
defense response to tumor cell (GO:0002357)	5/10	7.00869481772691e-05	0.00333744637430974	5	0.5	SPI1;DAPK1;PRF1;KLF4;RBMS3
regulation of epithelial cell proliferation (GO:0050678)	15/93	7.05889673077356e-05	0.00333744637430974	15	0.161290322580645	ACVRL1;CDKN2B;KRT4;ANGPT1;TIE1;C5AR1;BMP6;BMP5;TGFBR3;NR4A1;ZFP36;NR4A3;HYAL1;NUPR1;FGFR2
circulatory system development (GO:0072359)	18/126	7.30422710038118e-05	0.00340799859183575	18	0.142857142857143	ACVRL1;RAMP2;FOXF1;CITED2;NOTCH4;HEG1;PDGFB;TCF21;TGFBR2;PDLIM1;CDH5;RBP4;BMP2;PDLIM2;SOX17;SOX18;FLRT3;TEK
granulocyte chemotaxis (GO:0071621)	13/73	7.44137517302854e-05	0.00342689822903366	13	0.178082191780822	CCL24;EDN1;CCL23;FCER1G;PLA2G1B;PPBP;CXCL3;CXCL2;CX3CL1;JAML;CXCR2;S100A12;S100A8
hemopoiesis (GO:0030097)	15/94	8.00849718026449e-05	0.00364078602579716	15	0.159574468085106	CEBPA;SELPLG;NOTCH4;ZBTB16;RTKN2;TMEM190;PDGFB;RASGRP4;TGFBR2;TGFBR3;RRAS;TAL1;TEK;CD34;FGFR2
positive regulation of protein phosphorylation (GO:0001934)	37/371	8.32645372265305e-05	0.00373741834183895	37	0.0997304582210243	ACVRL1;CX3CR1;CSF3;RAMP3;FAXDC2;LRRK2;PDGFB;ITLN1;ARRB1;FPR2;AGER;CX3CL1;CCND2;GPER1;LEPR;RSPO1;CCN1;GDF10;ANGPT4;ANGPT1;LIMCH1;ODAM;WNT3A;CAV1;SH2D3C;VEGFD;BMP6;BMP5;MARCO;BMP2;IL6;PECAM1;ADTRP;TEK;GAS6;HLA-DRB1;ENG
glomerulus vasculature development (GO:0072012)	4/6	9.35943303770555e-05	0.00414856869396299	4	0.666666666666667	ANGPT1;PECAM1;TEK;CD34
