genes	ensembl_id	logFoldChange	pvalue	pvalue_adj	direction
RHOBTB2	ENSG00000008853	-1.29470021860131	3.44559262755182e-11	4.81480192496324e-11	DOWN
SEMA3G	ENSG00000010319	-2.29107903771815	2.03218648148355e-21	1.30932820283504e-20	DOWN
BTK	ENSG00000010671	-1.07375727472455	2.60905484604799e-14	4.80286222858308e-14	DOWN
ANOS1	ENSG00000011201	-2.30221079254919	9.63448190188991e-24	1.12110334858355e-22	DOWN
SYT7	ENSG00000011347	1.78051776797423	2.45395966777978e-14	4.53474741302905e-14	UP
ANLN	ENSG00000011426	2.33038961830974	7.74457779276943e-19	2.87057709693384e-18	UP
DCN	ENSG00000011465	-1.10361852195953	7.19239523329001e-09	8.45128448464921e-09	DOWN
TYROBP	ENSG00000011600	-1.57453637405661	1.63590528783843e-13	2.75279417410147e-13	DOWN
SEMA3B	ENSG00000012171	-1.98486305701617	5.61042400913133e-17	1.47359973974448e-16	DOWN
LTF	ENSG00000012223	1.17888029458243	0.000428548464348264	0.000429891876462208	UP
ALOX5	ENSG00000012779	-1.77450051027619	1.19605152599709e-17	3.49531039560794e-17	DOWN
CALCOCO1	ENSG00000012822	-1.22728607071183	1.53654213332676e-24	2.03459372137061e-23	DOWN
SLC25A39	ENSG00000013306	1.09776450923494	1.72701579376332e-18	5.87920270217301e-18	UP
GPRC5A	ENSG00000013588	-1.66639725083514	5.30183051341654e-13	8.42675048490046e-13	DOWN
TACC3	ENSG00000013810	1.25718341618326	4.71987844821519e-16	1.07244575391398e-15	UP
IL20RA	ENSG00000016402	-1.01040066534388	2.4343980777472e-08	2.76898359554184e-08	DOWN
SLC11A1	ENSG00000018280	-1.55777489154522	2.89644423793009e-20	1.44822211896505e-19	DOWN
VSIG2	ENSG00000019102	-2.52632896001872	1.90530601331081e-15	4.0067771583316e-15	DOWN
MARCO	ENSG00000019169	-3.36245459138894	3.26302265821903e-21	1.98259604550017e-20	DOWN
CYP24A1	ENSG00000019186	2.83190033628471	8.81554220705011e-15	1.70623397555809e-14	UP
C8B	ENSG00000021852	-1.90182355113674	1.34495219925777e-18	4.67809460611397e-18	DOWN
FHL1	ENSG00000022267	-3.20282892169774	2.20789054059559e-33	1.05978745948588e-30	DOWN
EHD2	ENSG00000024422	-1.30462689327211	4.16227347462757e-13	6.68750215170287e-13	DOWN
DEPDC1	ENSG00000024526	1.28556246514043	7.02675914380609e-16	1.55251755536337e-15	UP
HSD17B6	ENSG00000025423	-2.72558204443764	2.38367954542539e-19	9.758346966347e-19	DOWN
SLAMF7	ENSG00000026751	1.02307935169117	2.92028729315553e-07	3.11497311269923e-07	UP
ARNTL2	ENSG00000029153	1.53803556428092	7.16220707802524e-14	1.24673051584846e-13	UP
HMGB3	ENSG00000029993	2.69285013100233	1.57762211351666e-21	1.04810880897993e-20	UP
ARHGAP31	ENSG00000031081	-1.71516196194349	7.49048196993015e-23	7.22699767953059e-22	DOWN
PNPLA6	ENSG00000032444	-1.38771463854271	2.79667884084574e-23	3.01664234518193e-22	DOWN
CHPF2	ENSG00000033100	1.06628211602328	2.12689135238675e-18	7.10196764623054e-18	UP
FUT8	ENSG00000033170	1.25598748879995	2.00939215987756e-18	6.74481284434426e-18	UP
EFCAB1	ENSG00000034239	-1.06484690165772	2.2685576466927e-08	2.58647902710807e-08	DOWN
MYOC	ENSG00000034971	-1.40175971183978	6.21263167865536e-17	1.61848749294685e-16	DOWN
FAM136A	ENSG00000035141	1.05744955280876	5.63969074599187e-23	5.58154960428061e-22	UP
DEPDC1B	ENSG00000035499	1.34233668542682	8.59686213291669e-15	1.66895604602629e-14	UP
DAPK2	ENSG00000035664	-1.55621477872875	1.17142755145349e-24	1.59513538921327e-23	DOWN
METTL1	ENSG00000037897	1.18343705402786	1.69792319565407e-15	3.59824783184969e-15	UP
VCAN	ENSG00000038427	1.77816144265109	3.45363268321711e-13	5.5910411060513e-13	UP
MSR1	ENSG00000038945	-1.98096557240668	1.92363784714585e-17	5.46358678479295e-17	DOWN
CDH1	ENSG00000039068	1.12940986280556	3.31749477082276e-14	6.0204063893948e-14	UP
RIPOR1	ENSG00000039523	-1.09443790777618	2.69779780426767e-14	4.96146722623939e-14	DOWN
C6	ENSG00000039537	-1.04234908072498	6.03152665596996e-08	6.68621892578656e-08	DOWN
TNC	ENSG00000041982	1.32588761406178	7.29112336784175e-07	7.64552532291434e-07	UP
ADAM28	ENSG00000042980	1.32644240095018	5.8108519862976e-14	1.01982045828989e-13	UP
BARX2	ENSG00000043039	1.44563401301256	4.65645746985323e-11	6.43657188057466e-11	UP
ADRB1	ENSG00000043591	-2.4478265917627	2.96434845617366e-25	4.82334664055376e-24	DOWN
HSPA5	ENSG00000044574	1.03476261651375	3.97135561975154e-19	1.56250057170552e-18	UP
DSG2	ENSG00000046604	1.43644445913228	3.28481914679232e-14	5.96674811905512e-14	UP
GPM6B	ENSG00000046653	-1.44301115027658	3.71163243387433e-19	1.47849258776737e-18	DOWN
CP	ENSG00000047457	2.52677237092772	2.42639289855737e-11	3.43054076968346e-11	UP
ARHGAP6	ENSG00000047648	-1.21674305750601	1.20028709353075e-28	5.35942144088149e-27	DOWN
ROS1	ENSG00000047936	-1.03002384906032	1.33633571489244e-05	1.35396547366411e-05	DOWN
TNFRSF17	ENSG00000048462	1.00252868903831	3.18137041467344e-09	3.82721252893046e-09	UP
CELF2	ENSG00000048740	-1.00990675117167	6.5295810931726e-14	1.14178467203018e-13	DOWN
EPN3	ENSG00000049283	1.53942002028433	2.78915573408752e-20	1.40925763406527e-19	UP
NEDD4L	ENSG00000049759	-1.03714101356024	1.01424184245207e-13	1.73560101382172e-13	DOWN
NFE2L3	ENSG00000050344	1.29302855922618	6.11740144651842e-13	9.65905491555541e-13	UP
LAMC3	ENSG00000050555	-1.25705031614247	8.14640602888819e-13	1.26751212118844e-12	DOWN
RAD51	ENSG00000051180	1.02333325605663	1.86437085301271e-15	3.92929971216728e-15	UP
MSMO1	ENSG00000052802	-1.0615786437538	2.23886102283989e-11	3.17475122884239e-11	DOWN
LAMA3	ENSG00000053747	-1.09607096537504	1.41071281895377e-06	1.46330016876891e-06	DOWN
CCDC85A	ENSG00000055813	-1.19752891745028	4.61554827638827e-25	7.03321642116308e-24	DOWN
GYG2	ENSG00000056998	1.31052013019116	8.00271725494591e-19	2.94352818572723e-18	UP
RASGRF1	ENSG00000058335	-1.80485276671831	4.61671165887021e-15	9.3208058727979e-15	DOWN
NDC1	ENSG00000058804	1.00071977625131	6.49740934909383e-16	1.44554182505911e-15	UP
ALDH18A1	ENSG00000059573	1.69168475452126	3.54157883237853e-27	9.85482805531417e-26	UP
STYK1	ENSG00000060140	1.19008263063679	1.1766572693026e-14	2.24794224583183e-14	UP
COL11A1	ENSG00000060718	2.56778041363838	4.5291190677068e-13	7.24659050833088e-13	UP
SPAG4	ENSG00000061656	1.67629293301111	1.62370511704496e-23	1.82310749983995e-22	UP
CDH3	ENSG00000062038	2.42363925889545	1.34001624190148e-16	3.2942780850843e-16	UP
VMP1	ENSG00000062716	1.08176363451289	5.80579737991706e-13	9.18972050242436e-13	UP
LIMCH1	ENSG00000064042	-1.67378672795286	7.01342740345704e-21	3.96052371018751e-20	DOWN
CCN5	ENSG00000064205	-1.55714722135756	4.95283981394574e-14	8.77255760403673e-14	DOWN
CHI3L2	ENSG00000064886	-1.69366438664664	5.31796579659477e-13	8.44540473900907e-13	DOWN
CALCRL	ENSG00000064989	-2.20048252292634	1.69437845934325e-23	1.88046626701678e-22	DOWN
SLC9A3R2	ENSG00000065054	-1.09942318708697	1.75344142572806e-13	2.93770291221455e-13	DOWN
MCM10	ENSG00000065328	1.15442098998391	6.7446352256556e-14	1.17617617014158e-13	UP
COL17A1	ENSG00000065618	1.90871833096827	6.90429512932405e-10	8.73270530191184e-10	UP
PRKCQ	ENSG00000065675	-1.01297122280788	1.03333555495247e-14	1.98798022596066e-14	DOWN
MTHFD2	ENSG00000065911	1.48701990017849	1.15193782032915e-18	4.0507703572014e-18	UP
TIE1	ENSG00000066056	-1.53310627542491	1.38425588102893e-20	7.28156518239877e-20	DOWN
NGEF	ENSG00000066248	1.17138129343576	1.86019951178478e-10	2.4665628885544e-10	UP
ASPM	ENSG00000066279	1.32200507697949	5.48545844702997e-14	9.67133169724291e-14	UP
SPI1	ENSG00000066336	-1.55468707419978	4.99015783593755e-15	9.9803156718751e-15	DOWN
CLDN18	ENSG00000066405	-5.37411811302766	1.02766056368506e-24	1.42978861034444e-23	DOWN
FGFR2	ENSG00000066468	-1.59556066457825	1.19612257628846e-16	2.96712577063804e-16	DOWN
PFKP	ENSG00000067057	1.89333597500038	5.52452702942907e-17	1.45501946454099e-16	UP
KLF6	ENSG00000067082	-1.29165936853886	1.42352949171126e-16	3.47290549439087e-16	DOWN
PHKA1	ENSG00000067177	1.17869200684896	4.43675023335069e-25	6.81484835842666e-24	UP
PKM	ENSG00000067225	1.05442588074657	4.58319877200958e-18	1.43263306653662e-17	UP
PRKCZ	ENSG00000067606	-1.01084855810984	4.70353289031179e-15	9.47616280104788e-15	DOWN
HYAL2	ENSG00000068001	-1.0439844932893	3.3051823142379e-15	6.78711234581474e-15	DOWN
PRR11	ENSG00000068489	1.47171300015499	1.52322190394808e-15	3.25315467806487e-15	UP
PITX1	ENSG00000069011	1.76546644438983	4.79052395665622e-15	9.62113597989534e-15	UP
ADGRF5	ENSG00000069122	-1.46325315905575	5.86965750975147e-10	7.46835150346111e-10	DOWN
MAOB	ENSG00000069535	-1.32954418198626	5.96204912486039e-14	1.04540039449607e-13	DOWN
TGFBR3	ENSG00000069702	-1.94185970461591	2.5376579849488e-22	2.10013074616452e-21	DOWN
PFN2	ENSG00000070087	1.13595981767137	5.33496720394534e-07	5.62500660712523e-07	UP
SPTB	ENSG00000070182	1.00077363872809	4.04840863543266e-08	4.53497350060135e-08	UP
ST6GALNAC1	ENSG00000070526	1.09452552605628	0.000110353887961433	0.000110873607998928	UP
NDST1	ENSG00000070614	-1.26862451808512	1.84787107133589e-18	6.2353470245429e-18	DOWN
ASNS	ENSG00000070669	1.15185022610136	3.81542312085398e-17	1.03469101582481e-16	UP
ST6GALNAC2	ENSG00000070731	-1.11284059356831	1.40228178120683e-14	2.65782923979971e-14	DOWN
AL162171.1	ENSG00000070778	-1.90498267540784	3.2927677493505e-30	2.80392521338495e-28	DOWN
LMCD1	ENSG00000071282	-1.13097730446288	7.08836784081607e-17	1.82190980647481e-16	DOWN
TRIP13	ENSG00000071539	1.59419702785872	4.50436664574066e-12	6.65260304601698e-12	UP
CYBRD1	ENSG00000071967	-1.75594832042559	3.12644316895964e-19	1.26108632025263e-18	DOWN
LIMS2	ENSG00000072163	-2.19157977343579	6.9423737502445e-30	4.76048485731051e-28	DOWN
HMMR	ENSG00000072571	1.70389125175842	3.18622224562175e-20	1.58076142418443e-19	UP
MCM2	ENSG00000073111	1.60380908170419	3.96072438134136e-16	9.10729438583881e-16	UP
PANX2	ENSG00000073150	1.20134556354958	1.91498591076534e-10	2.53570548184101e-10	UP
FERMT2	ENSG00000073712	-1.05345726631028	2.21869206625792e-17	6.23702601349224e-17	DOWN
FRY	ENSG00000073910	-1.0188071080416	3.33317414048752e-19	1.33792112989392e-18	DOWN
NTN4	ENSG00000074527	-1.48240972116813	1.69465965580545e-16	4.09276294232259e-16	DOWN
SCARF1	ENSG00000074660	-1.10198303347735	2.18073639847448e-17	6.14833169613952e-17	DOWN
ENO1	ENSG00000074800	1.3112055508486	8.49869126675676e-19	3.10218388444353e-18	UP
GTSE1	ENSG00000075218	1.37204294006142	2.53339835079243e-16	5.99768783418183e-16	UP
CACNG4	ENSG00000075461	-1.22930780092879	3.54346866328724e-06	3.62851191120614e-06	DOWN
FSCN1	ENSG00000075618	1.05954423915818	1.61179773329021e-06	1.66804298386388e-06	UP
MCM6	ENSG00000076003	1.38447476517688	1.91047302911399e-17	5.43423439392425e-17	UP
RBMS2	ENSG00000076067	-1.04136125232942	6.94882297211609e-19	2.62116701502218e-18	DOWN
SPAG5	ENSG00000076382	1.75794806807116	1.5054260609701e-17	4.32697310937513e-17	UP
TRAF4	ENSG00000076604	1.00630210054506	3.88037907734242e-19	1.53615006773143e-18	UP
UBE2T	ENSG00000077152	2.47948304035556	1.48508815410016e-23	1.7074067400433e-22	UP
FBLN1	ENSG00000077942	-1.03240255533222	1.17168739156967e-07	1.27820442716691e-07	DOWN
ITGA8	ENSG00000077943	-1.57766945275695	3.04575912869806e-22	2.44680231259426e-21	DOWN
LAMP3	ENSG00000078081	-3.07431964451787	2.78078699041323e-21	1.71675595549627e-20	DOWN
FAP	ENSG00000078098	1.38391292105256	7.7234551838624e-14	1.33900072238028e-13	UP
NEBL	ENSG00000078114	-1.42165892686942	2.63018137796892e-21	1.65030988421579e-20	DOWN
SYNJ2	ENSG00000078269	1.2069058530891	2.56817857987694e-18	8.40017525274912e-18	UP
EDN1	ENSG00000078401	-1.50896849323287	5.21926474946921e-12	7.67303852908184e-12	DOWN
ITM2A	ENSG00000078596	-1.80088753286743	1.07400969225633e-18	3.8187011280225e-18	DOWN
TNS1	ENSG00000079308	-2.10884948585494	2.34000154526994e-22	1.96192269297741e-21	DOWN
CEACAM1	ENSG00000079385	1.38375337107157	3.67832596244737e-13	5.92482034219711e-13	UP
PAFAH1B3	ENSG00000079462	1.80238133958024	1.12309286439858e-20	5.97323628710602e-20	UP
PTPRH	ENSG00000080031	1.62669870408261	2.93938524627722e-14	5.3697618200307e-14	UP
SCTR	ENSG00000080293	-1.17832257538722	1.23928454657174e-07	1.3496462447066e-07	DOWN
SESN1	ENSG00000080546	-1.33470142502561	1.18364189808951e-19	5.2484813956856e-19	DOWN
CPB2	ENSG00000080618	-3.43577172021442	1.93659249431248e-28	7.74636997724991e-27	DOWN
NDC80	ENSG00000080986	1.46766272411789	4.6322139222638e-17	1.24389520709741e-16	UP
CXCL2	ENSG00000081041	-2.05430368350641	7.24116574642453e-11	9.85332263156279e-11	DOWN
COL4A4	ENSG00000081052	-1.30693544352218	1.96505670806002e-14	3.68088671168316e-14	DOWN
FAT1	ENSG00000083857	1.29953980353775	2.8494853372718e-14	5.2154545734622e-14	UP
FCN1	ENSG00000085265	-1.13585539962666	6.15632310531162e-12	8.97504962961147e-12	DOWN
PILRA	ENSG00000085514	-1.2145554440735	5.64215218442767e-15	1.11679713341249e-14	DOWN
IGSF9	ENSG00000085552	1.81432805703501	1.35225838194388e-19	5.83446313108372e-19	UP
ORC1	ENSG00000085840	1.26283220512151	1.08064108141534e-16	2.69109063076193e-16	UP
RAD54L	ENSG00000085999	1.13861626116665	9.42127231288024e-15	1.81614887959137e-14	UP
PPP1R15A	ENSG00000087074	-1.67570621987332	3.87358427961959e-20	1.89243812134087e-19	DOWN
TMPRSS11E	ENSG00000087128	2.09417256172329	7.03428597403416e-11	9.58540033367323e-11	UP
AURKA	ENSG00000087586	1.75646380627914	4.71234696501217e-18	1.46640294535225e-17	UP
CASS4	ENSG00000087589	-1.09842616637496	9.57586885382656e-14	1.64157751779884e-13	DOWN
RFX2	ENSG00000087903	-1.07260306048572	2.76930608821406e-12	4.13779586721478e-12	DOWN
TPX2	ENSG00000088325	2.67513146357697	1.22759149546669e-19	5.40590750297258e-19	UP
SMOX	ENSG00000088826	1.01021885960229	1.34847332077185e-11	1.93358385054664e-11	UP
SIGLEC1	ENSG00000088827	-1.11177473277534	7.39653209020971e-10	9.32458411897744e-10	DOWN
CPXM1	ENSG00000088882	1.80510140160877	5.58682515457513e-15	1.10813060917193e-14	UP
F11	ENSG00000088926	-1.4358545615837	1.73400115746358e-22	1.51288476300791e-21	DOWN
TESC	ENSG00000088992	1.68528579862979	4.85037057559206e-07	5.12250357818303e-07	UP
FXYD3	ENSG00000089356	-1.00238841493664	0.000100788882933759	0.000101316573420323	DOWN
BIRC5	ENSG00000089685	2.42847908777192	1.50100697082508e-20	7.8101175717728e-20	UP
LTBP4	ENSG00000090006	-2.07008587262628	3.38015480136998e-21	2.04084818195923e-20	DOWN
LYZ	ENSG00000090382	-1.23330598394056	2.25647415418552e-06	2.32053046386514e-06	DOWN
P3H2	ENSG00000090530	-2.18576796253791	7.28508792652113e-20	3.39499243177684e-19	DOWN
KIF4A	ENSG00000090889	1.94923737988732	2.28724087695612e-18	7.58463295985448e-18	UP
NLRC4	ENSG00000091106	-1.27696679388682	5.38804591234479e-20	2.56065548309455e-19	DOWN
PUS7	ENSG00000091127	1.09084861590854	6.6465093833057e-21	3.7643946949696e-20	UP
ORC6	ENSG00000091651	1.01760024376557	3.20789500119253e-14	5.83253636580459e-14	UP
RGS17	ENSG00000091844	1.02809851020198	4.81024961944102e-11	6.63959688664756e-11	UP
TGM1	ENSG00000092295	-1.36298673242955	7.96635831448969e-21	4.40428068720703e-20	DOWN
SEMA6A	ENSG00000092421	-1.50816059956221	2.48440277321391e-19	1.01275017506809e-18	DOWN
TBX15	ENSG00000092607	1.09843351354472	2.09089534645216e-12	3.14864240406913e-12	UP
TEKT2	ENSG00000092850	-1.19802228705583	1.10722738476816e-07	1.21063586489457e-07	DOWN
CLSPN	ENSG00000092853	1.08767589945465	1.81360231961235e-13	3.03584695174867e-13	UP
UNC13D	ENSG00000092929	-1.11517018989381	2.01723569923211e-11	2.86683385827213e-11	DOWN
DPYSL2	ENSG00000092964	-1.36640816207158	6.06798897454788e-19	2.31161484744681e-18	DOWN
CDC45	ENSG00000093009	1.46364480201484	1.16891912864328e-15	2.53309788599899e-15	UP
CDC6	ENSG00000094804	1.69931697427026	1.07932746837467e-18	3.83051522972156e-18	UP
FMO2	ENSG00000094963	-2.87511493174594	1.19187723303526e-28	5.35942144088149e-27	DOWN
SH2D3C	ENSG00000095370	-1.86485320674168	2.32795759762063e-23	2.52524213979187e-22	DOWN
TBC1D2	ENSG00000095383	-1.1751515511043	1.03676123945089e-13	1.77255706121612e-13	DOWN
SORBS1	ENSG00000095637	-1.14515635051467	7.38909126268616e-18	2.22952386758635e-17	DOWN
CRTAC1	ENSG00000095713	-2.93179478667993	5.02169713295686e-21	2.89539294152467e-20	DOWN
SRPK1	ENSG00000096063	1.5314286776525	7.83238208447111e-27	1.95300955872526e-25	UP
PGC	ENSG00000096088	-3.16759853553833	2.44151885560446e-09	2.95941679467207e-09	DOWN
DSP	ENSG00000096696	1.91228760029129	1.63813717896897e-13	2.7541360627149e-13	UP
SCD	ENSG00000099194	-1.05437952289456	7.19475698299364e-10	9.08811408378144e-10	DOWN
ABLIM1	ENSG00000099204	-1.01698626556411	4.69870171533516e-12	6.92364335644167e-12	DOWN
PALMD	ENSG00000099260	-1.29131386513086	7.129835530058e-19	2.68417337602183e-18	DOWN
GADD45B	ENSG00000099860	-1.22492916620644	7.84470666290445e-10	9.83790776797945e-10	DOWN
MMP11	ENSG00000099953	3.11893507998698	7.39690991485678e-18	2.22952386758635e-17	UP
DERL3	ENSG00000099958	1.63549049636179	1.36223496596259e-14	2.58447740577882e-14	UP
SUSD2	ENSG00000099994	-3.26564882965499	6.6052933126351e-18	2.01304177146974e-17	DOWN
MFNG	ENSG00000100060	-1.41939086643546	2.69974256476518e-21	1.68239772306224e-20	DOWN
PLA2G3	ENSG00000100078	-1.07585339657738	8.1622225587578e-18	2.44484669466692e-17	DOWN
CENPM	ENSG00000100162	1.11879296060985	8.0564901093929e-12	1.16919584354001e-11	UP
KDELR3	ENSG00000100196	2.00517871836873	4.56698072768733e-21	2.64114548107219e-20	UP
TIMP3	ENSG00000100234	-1.19983870756932	5.51697136846492e-12	8.08594276904783e-12	DOWN
BIK	ENSG00000100290	1.08990145080009	7.49383344115802e-10	9.43485915214649e-10	UP
CBX7	ENSG00000100307	-1.39867933060468	8.79528955062617e-25	1.24804762987138e-23	DOWN
PDGFB	ENSG00000100311	-1.0124977054215	4.18571998593744e-09	4.99787461007455e-09	DOWN
COCH	ENSG00000100473	1.18726140828333	1.55219519153716e-11	2.21742170219594e-11	UP
GNPNAT1	ENSG00000100522	1.29291389203779	1.1766529281634e-21	8.18436681049766e-21	UP
CDKN3	ENSG00000100526	1.61520109214838	2.15360787148474e-19	8.95005868668984e-19	UP
PLEK2	ENSG00000100558	2.11043647808225	8.97876039174808e-20	4.1130699738603e-19	UP
SIX4	ENSG00000100625	1.10141823571996	2.44689752190328e-14	4.5260532197055e-14	UP
HIF1A	ENSG00000100644	1.03780930754283	1.75663698474736e-12	2.65989196428622e-12	UP
MMP9	ENSG00000100985	2.24944023479191	1.18702424956829e-12	1.82035667665425e-12	UP
GINS1	ENSG00000101003	1.5337619293353	5.66075552493014e-18	1.73898409725854e-17	UP
MYBL2	ENSG00000101057	2.8361193544853	8.39315031601989e-20	3.87376168431687e-19	UP
RAB5IF	ENSG00000101084	1.01027285038235	5.59322814322511e-14	9.85229177522221e-14	UP
SLC17A9	ENSG00000101194	1.05483890935631	5.42890136869489e-13	8.60734155895474e-13	UP
EEF1A2	ENSG00000101210	3.02452650857545	1.4711327688966e-14	2.78557684051427e-14	UP
ANGPT4	ENSG00000101280	-1.15065463440234	2.18705190452789e-21	1.39506300886829e-20	DOWN
RSPO4	ENSG00000101282	-1.34011337330913	1.25241815287735e-13	2.1261210022321e-13	DOWN
SIRPB1	ENSG00000101307	-1.67211372736359	1.69322471145636e-27	5.41831907666034e-26	DOWN
FERMT1	ENSG00000101311	1.91222774257261	3.53024150452011e-22	2.80085276391678e-21	UP
CCM2L	ENSG00000101331	-1.66132029138844	7.22529071950944e-26	1.41556716137328e-24	DOWN
MYL9	ENSG00000101335	-1.61443507063487	4.80282524191027e-15	9.6357622408231e-15	DOWN
HCK	ENSG00000101336	-1.12479285107692	1.96770767959622e-09	2.39872936179349e-09	DOWN
PXMP4	ENSG00000101417	-1.10225370929127	6.03001946970258e-13	9.5289196558263e-13	DOWN
WFDC2	ENSG00000101443	1.26834373041284	2.61750101822527e-06	2.6903650722658e-06	UP
FAM83D	ENSG00000101447	1.6175006464587	4.76133801072403e-15	9.57253296396873e-15	UP
DNTTIP1	ENSG00000101457	1.25420547705737	2.03733801295358e-12	3.07039951716709e-12	UP
CSTF2	ENSG00000101811	1.03433428207194	1.45723448577615e-21	9.81715864101825e-21	UP
MXRA5	ENSG00000101825	1.73792469251216	1.15126831817844e-12	1.76976394788039e-12	UP
VSIG1	ENSG00000101842	1.23692354233923	6.54847088765277e-05	6.5965708836796e-05	UP
TLR8	ENSG00000101916	-1.12287547450029	3.41065414753542e-13	5.52612317575359e-13	DOWN
CHRDL1	ENSG00000101938	-2.19699008716771	3.71920175228243e-18	1.18226280867256e-17	DOWN
SRPX	ENSG00000101955	-1.43262289662447	4.7092066222943e-13	7.52845688160288e-13	DOWN
RS1	ENSG00000102104	-1.11960430128401	4.08124437199731e-32	9.79498649279354e-30	DOWN
PCSK1N	ENSG00000102109	1.3258507761427	2.30188162163413e-07	2.47181919101651e-07	UP
TIMP1	ENSG00000102265	1.69154086493691	3.26748202884586e-18	1.04903090069362e-17	UP
SRPX2	ENSG00000102359	1.89956932529125	5.55385998128646e-15	1.10387279131159e-14	UP
CAB39L	ENSG00000102547	-1.00939521855966	3.72234224505992e-19	1.47968884275674e-18	DOWN
ACP5	ENSG00000102575	-1.81375206473013	4.16669594246853e-18	1.31342119776752e-17	DOWN
SGCG	ENSG00000102683	-1.72296940543768	4.74493887432118e-31	7.00790972207436e-29	DOWN
RGCC	ENSG00000102760	-2.75628883087336	1.00306944605154e-31	1.92589333641895e-29	DOWN
PLLP	ENSG00000102934	-1.55281511733222	7.43247635252987e-19	2.78174553544978e-18	DOWN
NDRG4	ENSG00000103034	-1.28437989355585	1.68013030543661e-14	3.16881157803369e-14	DOWN
FA2H	ENSG00000103089	1.33313336629425	9.80375289104225e-13	1.51677724019348e-12	UP
NME4	ENSG00000103202	1.18605687556475	1.80271635405623e-17	5.14296493282015e-17	UP
FOXF1	ENSG00000103241	-2.02520859270057	7.86933980179021e-23	7.54505026478839e-22	DOWN
SLC7A5	ENSG00000103257	2.03657081969485	3.95238049596874e-17	1.07032024714527e-16	UP
RHBDL1	ENSG00000103269	1.01587247582268	4.97004243409828e-14	8.78681535310194e-14	UP
TOX3	ENSG00000103460	1.2829391914139	1.16214465461778e-10	1.56364242247102e-10	UP
AQP9	ENSG00000103569	-1.08211420279905	8.64477160983449e-11	1.16722654647554e-10	DOWN
CORO2B	ENSG00000103647	-1.19407297641818	3.74126718889371e-20	1.83245739864182e-19	DOWN
RASL12	ENSG00000103710	-1.23215503421008	2.2760662546294e-15	4.74489382072578e-15	DOWN
CTSH	ENSG00000103811	-1.52431549857702	3.1456211433273e-10	4.09741695738699e-10	DOWN
CEMIP	ENSG00000103888	1.56262492632221	6.35702469576511e-11	8.70576848492797e-11	UP
ZNF106	ENSG00000103994	-1.01304300152684	1.28546743397538e-19	5.60705010081318e-19	DOWN
RHOV	ENSG00000104140	1.95639284839284	7.56054875656757e-10	9.50638743458398e-10	UP
PDGFRL	ENSG00000104213	1.19978748520255	5.49741466748524e-10	7.02264548341427e-10	UP
CA2	ENSG00000104267	-1.99060227588573	3.02235922556542e-14	5.50040731098161e-14	DOWN
LAPTM4B	ENSG00000104341	1.23629011245825	1.58242776662113e-13	2.6651415016777e-13	UP
CCN4	ENSG00000104415	1.53352181173297	1.26968781575596e-16	3.13745251769812e-16	UP
TSTA3	ENSG00000104522	1.11974752064482	5.0972233951231e-13	8.12171694492643e-13	UP
PYCR3	ENSG00000104524	1.01742585128672	8.36932587503226e-15	1.62642770041113e-14	UP
MCM4	ENSG00000104738	1.79543256192558	8.95737681200679e-19	3.2510706009552e-18	UP
